Max,Min,Offer,Rate
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
0.1,0,0,0.008
